id,text,date
"2047147126183137468","We've heard you. 
To give sufficient time to migrate: You'll have until May 30th to transition to XChat.
We'll also increase groupchat limits to 500 members tomorrow and aim to reach 1000 in the next couple weeks. This should cover all but a handful of communities on X.","2026-04-23"
"2046776546858532993","Today we're also rolling out a tool to snooze topics on your For You tab—if you ever want to crank up or turn down the slop. 

Rolling out now on iOS and Web for Premium subscribers.","2026-04-22"
"2046736181002645520","Ladies and gentlemen, today we're launching one of our biggest changes to 𝕏

Introducing Custom Timelines

This feature allows you to pin a specific topic to your home tab. With support for over 75 topics, you can dive deep into your favorite niche on X.

It's powered by Grok's","2026-04-21"
"2046737687059779931","Credit to the folks who made it happen: 

@singhai
 
@sandeep_rao
 
@shivamkhare95
 
@haitong_yu
 
@benjitaylor
 
@geruk
 
@yagiznizipli","2026-04-21"
"2046388721398792440","> Took 3 days off to go to best friend’s wedding
> App is on fire

Lesson learned: Never have friends","2026-04-21"
"2045255404251193716","Diving into our creator era with an exclusive panel featuring 
@realEstateTrent
, 
@MySportsUpdate
 and 
@jacksondahl
 hosted by Head of Product 
@nikitabier
 during this week's Client Council.","2026-04-17"
"2045154449522356517","Based on aggregated data from our trading pilot, X has driven a estimated $1 billion in trading volume globally since launching on Tuesday night.","2026-04-17"
"2044637873471738283","Does anyone know when I have to do taxes?","2026-04-16"
"2044482407517102137","Update: Cashtags are now available globally for iOS.","2026-04-15"
"2044187672969879654","𝕏 has always been the best source of financial news for traders and investors. Billions of dollars are allocated every day based on what people read on Timeline. 

Today we're launching our new Cashtags feature in the US and Canada on iPhone, bringing real-time financial data to","2026-04-14"
"2044187674781860129","Our vision is more than just charts. The content on X is valuable & actionable, so trading should be frictionless.

Today we're also announcing a pilot integration with 
@Wealthsimple
, Canada's leading brokerage. 

Users in Canada will see a button on Cashtags so they can trade","2026-04-14"
"2044191813557469552","Credit to the builders:


@k3shen
 (his 1st launch at X)

@mnmityushkin
 

@singhai
 

@nicoduc
 & 
@benjitaylor


Web and Android + global launch coming very soon","2026-04-14"
"2044020819052113989","Headed to NYC today. Where is the best pastrami sandwich?","2026-04-14"
"2043893779552448735","Crypto has had a rough year. Maybe we should launch something to fix it.","2026-04-14"
"2043517217367843182","I’ve seen a few people promote a theory that if X brings in new communities (e.g., women, vloggers) that it will somehow damage their community’s experience.

This is categorically false: the Timeline algorithm serves tons of niches that you never see. Growth of new audiences","2026-04-13"
"2043483058125615306","My girlfriend made a slideshow to explain Euphoria to me so we can watch the new season.","2026-04-13"
"2043145634753179974","Liberation Day.","2026-04-12"
"2042884171127988346","Sorry guys, I’m stepping up to the big leagues now.","2026-04-11"
"2042792391590248476","That's enough computer for today.","2026-04-11"
"2042694084775809072","new app who dis","2026-04-10"
"2042478156926632241","Back in business.","2026-04-10"
"2042375113509904819","Whoever is advising 
@EFF
 on social strategy should be fired. 

Their reach on their X account is 13.3x larger than on their Instagram account—and on 228x larger than their TikTok account.

If they want their foundation to have an impact on the global conversation, the only place","2026-04-09"
"2042089543898431660","Pour one out tonight for the reply bots. This week is going to hurt ","2026-04-09"
"2042121229998682517","Currently identifying and suspending 208 bots per minute and growing.","2026-04-09"
"2042066877275685248","Can't wait to hear what everyone sounds like","2026-04-09"
